,GazePointLeftX (ADCSpx),GazePointRightX (ADCSpx),GazeEventType
155577,,,Unclassified
155578,,,Unclassified
155579,,,Unclassified
155580,,,Unclassified
155581,,,Unclassified
155582,,,Unclassified
155583,,,Unclassified
155584,,,Unclassified
155585,,,Unclassified
155586,,,Unclassified
155587,,,Unclassified
155588,,,Unclassified
155589,,,Unclassified
155590,,,Unclassified
155591,,,Unclassified
155592,,,Unclassified
155593,,,Unclassified
155594,,,Unclassified
155595,,,Unclassified
155596,,,Unclassified
155597,,,Unclassified
155598,,,Unclassified
155599,1482.0,,Unclassified
155600,,,Saccade
155601,,,Saccade
155602,,,Saccade
155603,,,Saccade
155604,1481.0,,Saccade
155605,1521.0,,Saccade
155606,,,Saccade
155607,1531.0,,Saccade
155608,1509.0,,Saccade
155609,,,Saccade
155610,,,Saccade
155611,,,Saccade
155612,,,Saccade
155613,,,Saccade
155614,1091.0,1215.0,Saccade
155615,1125.0,1245.0,Saccade
155616,1134.0,1245.0,Saccade
155617,1144.0,1268.0,Saccade
155618,,1268.0,Fixation
155619,1147.0,1259.0,Fixation
155620,1146.0,1253.0,Fixation
155621,1134.0,1255.0,Fixation
155622,1134.0,,Fixation
155623,1143.0,1264.0,Fixation
155624,,1264.0,Fixation
155625,1143.0,1261.0,Fixation
155626,1143.0,1255.0,Fixation
155627,,1255.0,Fixation
155628,1129.0,1270.0,Fixation
155629,1130.0,1268.0,Fixation
155630,1188.0,1268.0,Fixation
155631,1183.0,1253.0,Fixation
155632,1179.0,1266.0,Fixation
155633,,1266.0,Fixation
155634,1182.0,,Fixation
155635,1192.0,1261.0,Saccade
155636,1161.0,1264.0,Saccade
155637,1141.0,1252.0,Saccade
155638,1130.0,1244.0,Fixation
155639,,1244.0,Fixation
155640,1149.0,1260.0,Fixation
155641,1155.0,1257.0,Fixation
155642,1125.0,1253.0,Fixation
155643,1126.0,1256.0,Fixation
155644,1147.0,1264.0,Fixation
155645,,1264.0,Fixation
155646,1121.0,1257.0,Fixation
155647,1153.0,1260.0,Fixation
155648,1152.0,1268.0,Fixation
155649,1144.0,1271.0,Fixation
155650,1141.0,1272.0,Fixation
155651,,1272.0,Fixation
155652,1129.0,1279.0,Saccade
155653,1076.0,,Saccade
155654,1023.0,1279.0,Saccade
155655,851.0,1072.0,Saccade
155656,715.0,786.0,Saccade
155657,,787.0,Saccade
155658,693.0,801.0,Saccade
155659,710.0,801.0,Fixation
155660,,790.0,Fixation
155661,666.0,798.0,Fixation
155662,673.0,804.0,Fixation
155663,673.0,783.0,Fixation
155664,678.0,775.0,Fixation
155665,672.0,777.0,Fixation
155666,,803.0,Fixation
155667,651.0,791.0,Fixation
155668,646.0,798.0,Fixation
155669,665.0,783.0,Fixation
155670,684.0,786.0,Fixation
155671,692.0,785.0,Fixation
155672,688.0,783.0,Fixation
155673,687.0,795.0,Fixation
155674,683.0,795.0,Fixation
155675,658.0,,Fixation
155676,655.0,792.0,Saccade
155677,688.0,793.0,Saccade
155678,681.0,,Saccade
155679,680.0,815.0,Saccade
155680,697.0,746.0,Saccade
155681,,,Saccade
155682,591.0,670.0,Saccade
155683,421.0,497.0,Saccade
155684,,,Fixation
155685,408.0,481.0,Fixation
155686,402.0,482.0,Fixation
155687,,,Fixation
155688,401.0,489.0,Fixation
155689,412.0,498.0,Fixation
155690,,,Fixation
155691,418.0,496.0,Fixation
155692,402.0,492.0,Fixation
155693,,,Fixation
155694,396.0,468.0,Fixation
155695,400.0,477.0,Fixation
155696,400.0,,Fixation
155697,407.0,495.0,Fixation
155698,409.0,488.0,Fixation
155699,,,Fixation
155700,402.0,469.0,Fixation
155701,415.0,470.0,Fixation
155702,,,Fixation
155703,416.0,468.0,Fixation
155704,410.0,465.0,Fixation
155705,,,Saccade
155706,416.0,510.0,Saccade
155707,433.0,525.0,Unclassified
155708,426.0,,Unclassified
155709,436.0,531.0,Unclassified
155710,406.0,499.0,Saccade
155711,,,Saccade
155712,336.0,412.0,Saccade
155713,321.0,381.0,Fixation
155714,,,Fixation
155715,317.0,388.0,Fixation
155716,,386.0,Fixation
155717,,,Fixation
155718,316.0,401.0,Fixation
155719,313.0,396.0,Fixation
155720,315.0,,Fixation
155721,310.0,370.0,Fixation
155722,304.0,372.0,Fixation
155723,,,Fixation
155724,309.0,372.0,Fixation
155725,313.0,375.0,Fixation
155726,,,Fixation
155727,308.0,388.0,Fixation
155728,313.0,394.0,Fixation
155729,312.0,,Fixation
155730,329.0,378.0,Fixation
155731,318.0,376.0,Fixation
155732,315.0,,Fixation
155733,315.0,402.0,Fixation
155734,322.0,418.0,Fixation
155735,316.0,,Fixation
155736,299.0,400.0,Fixation
155737,318.0,375.0,Fixation
155738,318.0,,Fixation
155739,351.0,376.0,Fixation
155740,352.0,360.0,Saccade
155741,,,Saccade
155742,319.0,436.0,Saccade
155743,503.0,577.0,Saccade
155744,503.0,,Unclassified
155745,529.0,570.0,Unclassified
155746,540.0,572.0,Unclassified
155747,542.0,583.0,Saccade
155748,520.0,590.0,Saccade
155749,478.0,590.0,Unclassified
155750,489.0,606.0,Unclassified
155751,478.0,610.0,Unclassified
155752,512.0,604.0,Unclassified
155753,512.0,,Unclassified
155754,511.0,599.0,Unclassified
155755,521.0,600.0,Unclassified
155756,,,Saccade
155757,507.0,569.0,Unclassified
155758,500.0,578.0,Unclassified
155759,500.0,,Unclassified
155760,499.0,575.0,Unclassified
155761,,565.0,Unclassified
155762,,,Unclassified
155763,495.0,611.0,Saccade
155764,634.0,753.0,Saccade
155765,676.0,833.0,Saccade
155766,840.0,1020.0,Saccade
155767,1101.0,1183.0,Saccade
155768,1126.0,1262.0,Saccade
155769,1199.0,1304.0,Saccade
155770,1205.0,1307.0,Fixation
155771,1197.0,1303.0,Fixation
155772,1191.0,,Fixation
155773,1153.0,1293.0,Fixation
155774,1195.0,1273.0,Fixation
155775,1194.0,1271.0,Fixation
155776,1197.0,1287.0,Fixation
155777,1207.0,1286.0,Fixation
155778,1180.0,1291.0,Fixation
155779,1191.0,1284.0,Fixation
155780,1214.0,1301.0,Fixation
155781,1218.0,1306.0,Fixation
155782,1217.0,1303.0,Fixation
155783,1199.0,1306.0,Fixation
155784,1191.0,1282.0,Fixation
155785,1199.0,1311.0,Fixation
155786,1203.0,1328.0,Fixation
155787,1215.0,1334.0,Fixation
155788,1204.0,1277.0,Fixation
155789,1204.0,,Fixation
155790,1208.0,1267.0,Fixation
155791,1214.0,1301.0,Fixation
155792,1203.0,1282.0,Fixation
155793,1177.0,1284.0,Fixation
155794,1195.0,1285.0,Fixation
155795,1194.0,,Fixation
155796,1204.0,1286.0,Fixation
155797,1197.0,1284.0,Fixation
155798,1189.0,1295.0,Fixation
155799,1188.0,1289.0,Fixation
155800,1188.0,1306.0,Fixation
155801,1193.0,1291.0,Fixation
155802,1189.0,1270.0,Fixation
155803,1192.0,1266.0,Fixation
155804,1199.0,,Fixation
155805,1204.0,1277.0,Fixation
155806,1205.0,1271.0,Fixation
155807,1184.0,,Fixation
155808,1180.0,1285.0,Fixation
155809,1181.0,1287.0,Fixation
155810,1178.0,,Fixation
155811,1181.0,1277.0,Fixation
155812,1172.0,1272.0,Fixation
155813,1155.0,1274.0,Fixation
155814,1155.0,1274.0,Fixation
155815,1175.0,1286.0,Fixation
155816,1180.0,,Fixation
155817,1181.0,1282.0,Fixation
155818,1178.0,1285.0,Fixation
155819,1187.0,,Fixation
155820,1190.0,1287.0,Fixation
155821,1160.0,1278.0,Fixation
155822,1199.0,,Fixation
155823,1199.0,1290.0,Fixation
155824,1200.0,1288.0,Fixation
