,GazePointLeftX (ADCSpx),GazePointRightX (ADCSpx),GazeEventType
5082,1166.0,1288.0,Saccade
5083,1183.0,1319.0,Saccade
5084,1191.0,1335.0,Saccade
5085,1207.0,1354.0,Saccade
5086,1228.0,1367.0,Saccade
5087,1259.0,1383.0,Saccade
5088,1234.0,1409.0,Saccade
5089,,1393.0,Saccade
5090,1213.0,1402.0,Unclassified
5091,1214.0,1391.0,Saccade
5092,1210.0,,Fixation
5093,1230.0,1384.0,Fixation
5094,1232.0,1384.0,Fixation
5095,,1382.0,Fixation
5096,1241.0,1389.0,Fixation
5097,1245.0,1384.0,Fixation
5098,1253.0,1385.0,Fixation
5099,1241.0,1376.0,Fixation
5100,1228.0,1375.0,Fixation
5101,,1374.0,Fixation
5102,1246.0,1377.0,Fixation
5103,1253.0,1382.0,Fixation
5104,1220.0,1372.0,Fixation
5105,1215.0,1373.0,Fixation
5106,1211.0,1370.0,Saccade
5107,1241.0,1374.0,Fixation
5108,1236.0,1375.0,Fixation
5109,1230.0,1374.0,Fixation
5110,1233.0,1374.0,Fixation
5111,1265.0,1371.0,Fixation
5112,1249.0,1367.0,Fixation
5113,,1369.0,Fixation
5114,1244.0,1357.0,Fixation
5115,1249.0,1358.0,Fixation
5116,,1362.0,Fixation
5117,1223.0,1362.0,Fixation
5118,1226.0,1361.0,Fixation
5119,,1361.0,Fixation
5120,1223.0,1361.0,Fixation
5121,1235.0,1365.0,Saccade
5122,1252.0,1381.0,Saccade
5123,,1363.0,Saccade
5124,,1364.0,Saccade
5125,1235.0,,Saccade
5126,,,Saccade
5127,,,Saccade
5128,,,Saccade
5129,,,Saccade
5130,,,Saccade
5131,,1165.0,Saccade
5132,1037.0,1132.0,Saccade
5133,1036.0,1136.0,Saccade
5134,,1118.0,Saccade
5135,1023.0,1118.0,Fixation
5136,1023.0,1112.0,Fixation
5137,1008.0,1111.0,Fixation
5138,1005.0,1118.0,Fixation
5139,1005.0,1111.0,Fixation
5140,,,Fixation
5141,1008.0,1104.0,Fixation
5142,1008.0,1104.0,Fixation
5143,1023.0,1111.0,Fixation
5144,1030.0,1107.0,Fixation
5145,1035.0,1107.0,Fixation
5146,1035.0,1108.0,Fixation
5147,1042.0,1104.0,Fixation
5148,1048.0,1103.0,Fixation
5149,1044.0,1103.0,Fixation
5150,1045.0,1106.0,Fixation
5151,1047.0,1107.0,Fixation
5152,1049.0,1106.0,Fixation
5153,1048.0,1109.0,Fixation
5154,1058.0,1118.0,Saccade
5155,1091.0,1124.0,Saccade
5156,,1267.0,Saccade
5157,1201.0,1412.0,Saccade
5158,1328.0,1571.0,Saccade
5159,1602.0,1719.0,Saccade
5160,1763.0,1885.0,Saccade
5161,1904.0,2026.0,Saccade
5162,2047.0,2096.0,Saccade
5163,2047.0,2124.0,Unclassified
5164,2055.0,2105.0,Unclassified
5165,2044.0,2101.0,Unclassified
5166,2055.0,2095.0,Unclassified
5167,2053.0,2086.0,Unclassified
5168,2054.0,2081.0,Saccade
5169,2028.0,2038.0,Saccade
5170,2025.0,2002.0,Saccade
5171,2024.0,2003.0,Saccade
5172,2014.0,1964.0,Saccade
5173,2014.0,1963.0,Saccade
5174,2012.0,1960.0,Saccade
5175,2011.0,,Fixation
5176,2011.0,1968.0,Fixation
5177,2011.0,1973.0,Fixation
5178,2003.0,,Fixation
5179,2001.0,1981.0,Fixation
5180,2004.0,1978.0,Fixation
5181,2017.0,,Fixation
5182,2016.0,1978.0,Fixation
5183,2021.0,1981.0,Fixation
5184,2020.0,,Fixation
5185,2020.0,1981.0,Fixation
5186,2019.0,1977.0,Fixation
5187,2005.0,,Fixation
5188,2004.0,1977.0,Fixation
5189,2003.0,1984.0,Fixation
5190,2013.0,,Fixation
5191,2010.0,1984.0,Fixation
5192,2015.0,1983.0,Fixation
5193,2019.0,,Fixation
5194,2023.0,1983.0,Saccade
5195,2013.0,1961.0,Fixation
5196,2004.0,,Fixation
5197,2004.0,1978.0,Fixation
5198,2009.0,1981.0,Fixation
5199,2005.0,,Fixation
5200,2005.0,1977.0,Fixation
5201,2008.0,1962.0,Fixation
5202,2019.0,,Fixation
5203,2020.0,1983.0,Fixation
5204,2027.0,1996.0,Saccade
5205,2035.0,,Saccade
5206,2034.0,1994.0,Fixation
5207,2023.0,2002.0,Fixation
5208,2002.0,,Fixation
5209,2002.0,2007.0,Fixation
5210,2012.0,2003.0,Fixation
5211,2026.0,,Fixation
5212,2026.0,1996.0,Fixation
5213,2024.0,2002.0,Fixation
5214,2019.0,,Fixation
5215,2015.0,2011.0,Fixation
5216,2020.0,2006.0,Fixation
5217,2022.0,,Fixation
5218,2022.0,1997.0,Fixation
5219,2025.0,2000.0,Fixation
5220,2025.0,,Fixation
5221,2025.0,2011.0,Fixation
5222,2028.0,2001.0,Fixation
5223,2016.0,,Fixation
5224,2015.0,1977.0,Fixation
5225,2017.0,1990.0,Fixation
5226,2015.0,,Fixation
5227,2012.0,,Fixation
5228,2004.0,1982.0,Fixation
5229,2015.0,,Fixation
5230,2016.0,,Fixation
5231,2009.0,2005.0,Fixation
5232,2010.0,,Fixation
5233,2010.0,,Fixation
5234,2019.0,2010.0,Fixation
5235,2012.0,,Fixation
5236,2020.0,,Fixation
5237,2017.0,2021.0,Fixation
5238,2005.0,,Fixation
5239,2005.0,,Fixation
5240,1993.0,1995.0,Fixation
5241,2008.0,,Fixation
5242,2008.0,,Fixation
5243,2003.0,1997.0,Fixation
5244,2000.0,,Fixation
5245,2000.0,,Fixation
5246,2007.0,1989.0,Fixation
5247,2003.0,,Fixation
5248,1999.0,,Saccade
5249,1984.0,1998.0,Saccade
5250,1988.0,,Saccade
5251,1919.0,1969.0,Saccade
5252,1919.0,1940.0,Saccade
5253,1919.0,1938.0,Saccade
5254,1919.0,1934.0,Fixation
5255,1920.0,1931.0,Fixation
5256,1919.0,1934.0,Fixation
5257,1918.0,1934.0,Fixation
5258,1915.0,1938.0,Fixation
5259,1917.0,1949.0,Fixation
5260,1921.0,1949.0,Fixation
5261,1919.0,1949.0,Fixation
5262,1908.0,1926.0,Fixation
5263,1906.0,1926.0,Fixation
5264,1906.0,1925.0,Fixation
5265,1909.0,1926.0,Fixation
5266,1907.0,1917.0,Fixation
5267,1917.0,1930.0,Fixation
5268,1926.0,1914.0,Fixation
5269,1926.0,1914.0,Fixation
5270,1926.0,1915.0,Fixation
5271,1927.0,1915.0,Fixation
5272,1929.0,1915.0,Fixation
5273,1928.0,1913.0,Fixation
5274,1928.0,1894.0,Fixation
5275,1928.0,1894.0,Fixation
5276,1929.0,1893.0,Fixation
5277,1934.0,1889.0,Fixation
5278,1935.0,1889.0,Fixation
5279,1925.0,1897.0,Fixation
5280,1924.0,1915.0,Fixation
5281,1922.0,1915.0,Fixation
5282,1932.0,1904.0,Fixation
5283,1934.0,1898.0,Fixation
5284,1932.0,1898.0,Fixation
5285,1923.0,1898.0,Fixation
5286,1921.0,1894.0,Fixation
5287,1923.0,1893.0,Fixation
5288,1932.0,1887.0,Fixation
5289,1933.0,1896.0,Fixation
5290,1929.0,1896.0,Fixation
5291,1923.0,1895.0,Fixation
5292,1922.0,1898.0,Fixation
5293,1922.0,1898.0,Fixation
5294,1911.0,1901.0,Fixation
5295,1912.0,1889.0,Fixation
5296,1912.0,1887.0,Fixation
5297,1903.0,1890.0,Fixation
5298,1896.0,1891.0,Fixation
5299,1896.0,1891.0,Saccade
5300,1923.0,1893.0,Saccade
5301,1923.0,1881.0,Saccade
5302,1895.0,1881.0,Unclassified
5303,1895.0,,Unclassified
5304,1878.0,1863.0,Unclassified
5305,1887.0,1864.0,Saccade
5306,1891.0,1853.0,Saccade
5307,1886.0,1859.0,Fixation
5308,1887.0,1859.0,Fixation
5309,1884.0,1862.0,Fixation
5310,1883.0,1872.0,Fixation
5311,1882.0,1865.0,Fixation
5312,1879.0,1869.0,Fixation
5313,1872.0,1869.0,Fixation
5314,1872.0,1869.0,Fixation
5315,1877.0,,Fixation
5316,1901.0,1859.0,Fixation
5317,1901.0,1858.0,Fixation
5318,1893.0,,Fixation
5319,1894.0,1851.0,Fixation
5320,1894.0,1841.0,Fixation
5321,1894.0,,Fixation
5322,1895.0,1855.0,Fixation
5323,1895.0,1857.0,Fixation
5324,1896.0,,Fixation
5325,1898.0,1848.0,Fixation
5326,1898.0,1848.0,Fixation
5327,1861.0,,Fixation
5328,1865.0,1852.0,Fixation
5329,1895.0,1852.0,Fixation
5330,1902.0,,Fixation
5331,1887.0,1862.0,Fixation
5332,1887.0,1862.0,Fixation
5333,1888.0,,Fixation
5334,1891.0,1867.0,Fixation
5335,1891.0,,Fixation
5336,1893.0,,Fixation
5337,1879.0,1844.0,Fixation
5338,1878.0,1844.0,Fixation
5339,1876.0,,Fixation
5340,1889.0,1852.0,Fixation
5341,1888.0,1847.0,Fixation
5342,1888.0,,Fixation
5343,1881.0,1853.0,Fixation
5344,1881.0,1853.0,Saccade
5345,1813.0,1806.0,Saccade
5346,1679.0,1766.0,Saccade
5347,1571.0,1602.0,Saccade
5348,1406.0,1494.0,Saccade
5349,1313.0,1405.0,Saccade
5350,1271.0,1344.0,Saccade
5351,1292.0,1326.0,Fixation
5352,1297.0,1333.0,Fixation
5353,1294.0,1327.0,Fixation
5354,1293.0,1328.0,Fixation
5355,1293.0,1326.0,Fixation
5356,1292.0,1326.0,Fixation
5357,1292.0,1340.0,Fixation
5358,1294.0,1340.0,Fixation
5359,1294.0,1339.0,Fixation
5360,1293.0,1317.0,Fixation
5361,1294.0,1316.0,Fixation
5362,1298.0,1318.0,Fixation
5363,1303.0,1338.0,Fixation
5364,1305.0,1326.0,Fixation
5365,1298.0,1326.0,Fixation
5366,1294.0,1320.0,Fixation
5367,1302.0,1320.0,Fixation
5368,1302.0,1319.0,Fixation
5369,1306.0,1321.0,Fixation
5370,1299.0,1323.0,Fixation
5371,1304.0,1320.0,Fixation
5372,1301.0,1317.0,Fixation
5373,1299.0,1318.0,Fixation
5374,1296.0,1315.0,Fixation
5375,1297.0,1310.0,Fixation
5376,1300.0,1311.0,Fixation
5377,1300.0,1313.0,Fixation
5378,1297.0,1311.0,Fixation
5379,1294.0,1312.0,Fixation
5380,1294.0,1314.0,Fixation
5381,1279.0,1316.0,Fixation
5382,1277.0,1316.0,Fixation
5383,1275.0,1313.0,Fixation
5384,1265.0,1308.0,Fixation
5385,1259.0,1306.0,Fixation
5386,1227.0,1304.0,Fixation
5387,1277.0,1302.0,Fixation
5388,1278.0,1302.0,Fixation
