,GazePointLeftX (ADCSpx),GazePointRightX (ADCSpx),GazeEventType
143409,1360.0,1389.0,Fixation
143410,1363.0,1361.0,Fixation
143411,1364.0,1373.0,Saccade
143412,1336.0,1345.0,Saccade
143413,1336.0,1319.0,Saccade
143414,1275.0,1266.0,Saccade
143415,1201.0,1229.0,Saccade
143416,1196.0,1195.0,Saccade
143417,1188.0,1175.0,Fixation
143418,1190.0,1165.0,Fixation
143419,1192.0,1170.0,Fixation
143420,1189.0,1167.0,Fixation
143421,1186.0,1185.0,Fixation
143422,1182.0,1183.0,Fixation
143423,1187.0,1191.0,Fixation
143424,1184.0,1189.0,Fixation
143425,1193.0,1202.0,Fixation
143426,1192.0,1199.0,Fixation
143427,1204.0,1175.0,Fixation
143428,1206.0,1198.0,Fixation
143429,1207.0,1197.0,Fixation
143430,1213.0,1198.0,Fixation
143431,1206.0,1183.0,Fixation
143432,1207.0,1182.0,Fixation
143433,1201.0,1185.0,Fixation
143434,1202.0,1197.0,Fixation
143435,1198.0,1201.0,Fixation
143436,1178.0,1200.0,Fixation
143437,1180.0,1173.0,Fixation
143438,1189.0,1172.0,Fixation
143439,1221.0,1170.0,Fixation
143440,1212.0,1166.0,Fixation
143441,1210.0,1166.0,Fixation
143442,1219.0,1208.0,Fixation
143443,1210.0,1208.0,Fixation
143444,1209.0,1196.0,Fixation
143445,1208.0,1192.0,Fixation
143446,1201.0,1181.0,Fixation
143447,1202.0,1181.0,Fixation
143448,1201.0,1208.0,Fixation
143449,1206.0,1202.0,Fixation
143450,1207.0,1205.0,Fixation
143451,1199.0,1207.0,Fixation
143452,1199.0,1201.0,Fixation
143453,1189.0,1202.0,Fixation
143454,1199.0,1192.0,Fixation
143455,1203.0,1171.0,Fixation
143456,1206.0,1171.0,Fixation
143457,1212.0,1201.0,Fixation
143458,1214.0,1155.0,Fixation
143459,1209.0,1182.0,Fixation
143460,1227.0,1156.0,Fixation
143461,1191.0,1189.0,Fixation
143462,1213.0,1208.0,Saccade
143463,1228.0,1226.0,Saccade
143464,1247.0,1252.0,Saccade
143465,1276.0,1262.0,Saccade
143466,1299.0,1251.0,Saccade
143467,1309.0,1273.0,Fixation
143468,1303.0,1269.0,Fixation
143469,1311.0,1273.0,Fixation
143470,1295.0,1285.0,Fixation
143471,1295.0,1266.0,Fixation
143472,1282.0,1265.0,Fixation
143473,1277.0,1277.0,Fixation
143474,1279.0,1283.0,Fixation
143475,1291.0,1287.0,Fixation
143476,1303.0,1282.0,Fixation
143477,1299.0,1277.0,Fixation
143478,1272.0,1273.0,Fixation
143479,1272.0,1279.0,Fixation
143480,1273.0,1284.0,Fixation
143481,1296.0,1250.0,Fixation
143482,1293.0,1277.0,Fixation
143483,1299.0,1257.0,Fixation
143484,1295.0,1243.0,Fixation
143485,1292.0,1243.0,Fixation
143486,1283.0,1243.0,Saccade
143487,1257.0,1252.0,Saccade
143488,1257.0,1293.0,Saccade
143489,1366.0,1359.0,Saccade
143490,1492.0,1507.0,Saccade
143491,1699.0,1746.0,Saccade
143492,1917.0,1994.0,Saccade
143493,2131.0,2191.0,Saccade
143494,2331.0,2353.0,Saccade
143495,2460.0,2425.0,Saccade
143496,2530.0,2441.0,Saccade
143497,,2438.0,Unclassified
143498,,2424.0,Unclassified
143499,2506.0,2408.0,Saccade
143500,2467.0,2383.0,Saccade
143501,,2373.0,Unclassified
143502,2513.0,2369.0,Saccade
143503,,2349.0,Fixation
143504,,2349.0,Fixation
143505,2504.0,2339.0,Fixation
143506,2514.0,2327.0,Fixation
143507,,2328.0,Fixation
143508,2516.0,2337.0,Fixation
143509,2509.0,2337.0,Fixation
143510,,2344.0,Fixation
143511,2507.0,2323.0,Fixation
143512,2506.0,2323.0,Fixation
143513,,2322.0,Fixation
143514,2505.0,2322.0,Fixation
143515,2506.0,2326.0,Fixation
143516,,2306.0,Fixation
143517,2502.0,2320.0,Saccade
143518,2579.0,2379.0,Saccade
143519,,2406.0,Unclassified
143520,2590.0,2417.0,Unclassified
143521,2588.0,2418.0,Unclassified
143522,,2418.0,Saccade
143523,2549.0,2393.0,Saccade
143524,2532.0,2377.0,Fixation
143525,,2377.0,Fixation
143526,2525.0,2393.0,Fixation
143527,2530.0,2379.0,Fixation
143528,,2385.0,Fixation
143529,2529.0,2383.0,Fixation
143530,2524.0,2375.0,Fixation
143531,,2378.0,Fixation
