,GazePointLeftX (ADCSpx),GazePointRightX (ADCSpx),GazeEventType
207538,,1323.0,Saccade
207539,,1316.0,Saccade
207540,,1317.0,Saccade
207541,,1315.0,Saccade
207542,,1316.0,Fixation
207543,,1315.0,Fixation
207544,,1322.0,Fixation
207545,,1304.0,Fixation
207546,,1310.0,Fixation
207547,,1315.0,Fixation
207548,,1312.0,Fixation
207549,,1309.0,Fixation
207550,,1308.0,Fixation
207551,,1300.0,Saccade
207552,,1268.0,Saccade
207553,,1187.0,Saccade
207554,,1187.0,Saccade
207555,,1140.0,Saccade
207556,,1150.0,Unclassified
207557,,1150.0,Unclassified
207558,,1145.0,Saccade
207559,,1131.0,Saccade
207560,,1113.0,Fixation
207561,,1111.0,Fixation
207562,,1122.0,Fixation
207563,,1129.0,Fixation
207564,,1126.0,Fixation
207565,,1120.0,Fixation
207566,,1127.0,Fixation
207567,,1132.0,Fixation
207568,,1129.0,Fixation
207569,,1125.0,Fixation
207570,,1134.0,Fixation
207571,,1150.0,Fixation
207572,,1150.0,Fixation
207573,,1130.0,Fixation
207574,,1110.0,Fixation
207575,,1110.0,Fixation
207576,,1122.0,Fixation
207577,,1122.0,Fixation
207578,,1123.0,Fixation
207579,,1110.0,Fixation
207580,,1107.0,Fixation
207581,,1113.0,Fixation
207582,,1133.0,Saccade
207583,,1146.0,Saccade
207584,,1211.0,Saccade
207585,,1314.0,Saccade
207586,,1438.0,Saccade
207587,,1497.0,Saccade
207588,,1510.0,Saccade
207589,,1508.0,Fixation
207590,,1503.0,Fixation
207591,,1491.0,Fixation
207592,,1487.0,Fixation
207593,,1484.0,Fixation
207594,,1489.0,Fixation
207595,,1485.0,Fixation
207596,,1486.0,Fixation
207597,,1480.0,Fixation
207598,,1481.0,Fixation
207599,,1478.0,Fixation
207600,,1476.0,Fixation
207601,,1481.0,Fixation
207602,,1487.0,Fixation
207603,,1483.0,Fixation
207604,,1478.0,Fixation
207605,,1478.0,Fixation
207606,,1477.0,Fixation
207607,,1479.0,Fixation
207608,,1483.0,Fixation
207609,,1484.0,Fixation
207610,,1500.0,Fixation
207611,,1454.0,Fixation
207612,,1493.0,Fixation
207613,,1487.0,Fixation
207614,,1497.0,Fixation
207615,,1493.0,Saccade
207616,,1474.0,Saccade
207617,,1439.0,Saccade
207618,,1397.0,Saccade
207619,,1337.0,Saccade
207620,,1314.0,Saccade
207621,,1318.0,Saccade
207622,,1320.0,Fixation
207623,,1321.0,Fixation
207624,,1320.0,Fixation
207625,,1322.0,Fixation
207626,,1324.0,Fixation
207627,,1327.0,Fixation
207628,,1330.0,Fixation
207629,,1335.0,Fixation
207630,,1335.0,Fixation
207631,,1348.0,Fixation
207632,,1313.0,Fixation
207633,,1338.0,Fixation
207634,,1324.0,Saccade
207635,,1322.0,Saccade
207636,,1330.0,Saccade
207637,,,Saccade
207638,,1332.0,Unclassified
207639,,,Unclassified
207640,,,Unclassified
207641,,,Unclassified
207642,,,Unclassified
207643,,,Unclassified
207644,,,Unclassified
207645,,,Unclassified
207646,,,Unclassified
207647,,,Unclassified
207648,,,Unclassified
207649,,,Unclassified
207650,,,Unclassified
207651,,,Unclassified
207652,,,Unclassified
207653,,,Unclassified
207654,,,Unclassified
207655,,,Unclassified
207656,,,Unclassified
207657,,,Unclassified
207658,,,Unclassified
207659,,,Unclassified
207660,,,Unclassified
207661,,,Unclassified
207662,,,Unclassified
207663,,,Unclassified
207664,,,Unclassified
207665,,,Unclassified
207666,,,Unclassified
207667,,,Unclassified
207668,,,Unclassified
207669,,,Unclassified
207670,,,Unclassified
207671,,,Unclassified
207672,,,Unclassified
207673,,,Unclassified
207674,,,Unclassified
207675,,,Unclassified
207676,,,Unclassified
207677,,,Unclassified
207678,,,Unclassified
207679,,,Unclassified
207680,,,Unclassified
207681,,,Unclassified
207682,,,Unclassified
207683,,,Unclassified
207684,,,Unclassified
207685,,,Unclassified
207686,,,Unclassified
207687,,,Unclassified
207688,,,Unclassified
207689,,,Unclassified
207690,,,Unclassified
207691,,,Unclassified
207692,,,Unclassified
207693,,,Unclassified
207694,,,Unclassified
207695,,,Unclassified
207696,,,Unclassified
207697,,,Unclassified
207698,,,Unclassified
207699,,,Unclassified
207700,,,Unclassified
207701,,,Unclassified
207702,,,Unclassified
207703,,,Unclassified
207704,,,Unclassified
207705,,,Unclassified
207706,,,Unclassified
207707,,,Unclassified
207708,,,Unclassified
207709,,,Unclassified
207710,,,Unclassified
207711,,,Unclassified
207712,,,Unclassified
207713,,,Unclassified
207714,,,Unclassified
207715,,,Unclassified
207716,,,Unclassified
207717,,,Unclassified
207718,,,Unclassified
207719,,,Unclassified
207720,,,Unclassified
207721,,,Unclassified
207722,,,Unclassified
207723,,,Unclassified
207724,,,Unclassified
207725,,,Unclassified
207726,,,Unclassified
207727,,,Unclassified
207728,,,Unclassified
207729,,,Unclassified
207730,,,Unclassified
207731,,,Unclassified
207732,,,Unclassified
207733,,,Unclassified
207734,,,Unclassified
207735,,,Unclassified
207736,,,Unclassified
207737,,,Unclassified
207738,,,Unclassified
207739,,,Unclassified
207740,,,Unclassified
207741,,,Unclassified
207742,,,Unclassified
207743,,,Unclassified
207744,,,Unclassified
207745,,,Unclassified
207746,,,Unclassified
207747,,,Unclassified
207748,,,Unclassified
207749,,,Unclassified
207750,,,Unclassified
207751,,,Unclassified
207752,,,Unclassified
207753,,,Unclassified
207754,,,Unclassified
207755,,,Unclassified
207756,,,Unclassified
207757,,,Unclassified
207758,,,Unclassified
207759,,,Unclassified
207760,,,Unclassified
207761,,,Unclassified
207762,,,Unclassified
207763,,,Unclassified
207764,,,Unclassified
207765,,,Unclassified
207766,,,Unclassified
207767,,,Unclassified
207768,,,Unclassified
207769,,,Unclassified
207770,,,Unclassified
207771,,,Unclassified
207772,,,Unclassified
207773,,,Unclassified
207774,,1413.0,Unclassified
207775,,,Saccade
207776,,1498.0,Saccade
207777,,,Fixation
207778,,,Fixation
207779,,,Fixation
207780,,,Fixation
207781,,,Fixation
207782,,,Fixation
207783,,,Fixation
207784,,,Fixation
207785,,,Fixation
207786,,1500.0,Unclassified
207787,,,Unclassified
207788,,,Unclassified
207789,,,Unclassified
207790,,,Unclassified
207791,,,Unclassified
207792,,,Unclassified
207793,,,Unclassified
207794,,,Unclassified
207795,,,Unclassified
207796,,,Unclassified
207797,,,Unclassified
207798,,,Unclassified
207799,,,Unclassified
207800,,,Unclassified
207801,,,Unclassified
207802,,,Unclassified
207803,,,Unclassified
207804,,,Unclassified
207805,,1578.0,Unclassified
207806,,,Saccade
207807,,1586.0,Saccade
207808,,1586.0,Saccade
207809,,,Saccade
207810,,1587.0,Saccade
207811,,1578.0,Saccade
207812,,,Unclassified
207813,,1575.0,Unclassified
207814,,1581.0,Unclassified
207815,,1581.0,Unclassified
207816,,1579.0,Unclassified
207817,,1602.0,Unclassified
207818,,1567.0,Saccade
207819,,1508.0,Saccade
207820,,1419.0,Saccade
207821,,1347.0,Saccade
207822,,,Unclassified
207823,,1347.0,Unclassified
207824,,1349.0,Saccade
207825,,1321.0,Saccade
207826,,1324.0,Fixation
207827,,1339.0,Fixation
207828,,1282.0,Fixation
207829,,1288.0,Fixation
207830,,1288.0,Fixation
207831,,1335.0,Fixation
207832,,1332.0,Fixation
207833,,1334.0,Fixation
207834,,1325.0,Fixation
207835,,1323.0,Fixation
207836,,1315.0,Fixation
207837,,1314.0,Fixation
207838,,1318.0,Fixation
207839,,1313.0,Fixation
207840,,1320.0,Fixation
207841,,1319.0,Fixation
